text_id,source,post_text,timestamp,likes,comments,shares
news_0046,news,Cyberattack Disrupts Boston Scientific’s Operations: 7 Things to Know - MedCity News,2026-08-26 07:00:00+00:00,,,
news_0061,news,"Boston Scientific hit by cyberattack, global operations affected - finance.yahoo.com",2026-08-26 07:00:00+00:00,,,
news_0060,news,Boston Scientific says a cyberattack is disrupting its global operations - CBS News,2026-08-26 07:00:00+00:00,,,
news_0048,news,Boston Scientific says cyberattack disrupted operations globally - BleepingComputer,2026-08-26 07:00:00+00:00,,,
news_0078,news,Boston Scientific Stock Is Falling as Cyberattack Puts More Strain on the Medical Device Maker - Barron's,2026-08-26 07:00:00+00:00,,,
news_0057,news,Cyberattack Disrupts Boston Scientific's Global Operations - BankInfoSecurity,2026-08-26 07:00:00+00:00,,,
2092555681400283347,twitter,🚨 BOSTON SCIENTIFIC DISCLOSES CYBERSECURITY INCIDENT DISRUPTING GLOBAL OPERATIONS; MATERIAL IMPACT NOT YET DETERMINED,2026-08-26 10:12:06+00:00,2.0,0.0,1.0
2092582519837204975,twitter,Boston Scientific confirms cyberattack as Cork staff told to work from home https://t.co/jCVODMvlRN,2026-08-26 11:58:45+00:00,5.0,2.0,1.0
2092588048303153324,twitter,"JUST IN: Boston Scientific shares fall after a cyberattack disrupts the medical device maker's operations, including shipment services, with no clear timeline for restoring systems.",2026-08-26 12:20:43+00:00,42.0,22.0,30.0
2092596578590834896,twitter,"$BSX  - disclosed a cybersecurity incident detected August 25 that disrupted global operations, including systems used to process and ship customer orders.

The Details:

•    Operational impact: The company said the attack is expected to continue affecting parts of the business while recovery efforts proceed.

•    Response actions: Boston Scientific activated incident-response protocols and engaged third-party cybersecurity specialists to investigate and contain the threat.

•    Unresolved scope: The company said the full nature and scope of the incident remain under investigation.

•    Materiality assessment: Boston Scientific has not determined whether the incident is reasonably likely to have a material business impact.",2026-08-26 12:54:37+00:00,0.0,0.0,0.0
2092599433435164748,twitter,"𝗚𝗹𝗼𝗯𝗮𝗹 𝗠𝗮𝗿𝗸𝗲𝘁 𝗙𝗟𝗔𝗦𝗛 ⚡

1. 📉 Persistent US PCE inflation data leaves the Fed split on its next move as rate hike expectations rise ahead of Jackson Hole.

2. 🏦 The Fed’s preferred inflation measure stayed flat in July, fueling speculation on further monetary tightening.

3. 🚀 Software stocks swing wildly, driven by leveraged bets and hot momentum trades.

4. 🏢 Boston Scientific faces worldwide operational disruption after a cyberattack affects shipments.

5. ⏬ US consumers are cutting back on gasoline, new vehicles, and RV purchases, signaling demand shifts.

6. 🏆 Target Hospitality and JM Smucker stocks outperform, drawing investor attention with unusual surges.

7. 📉 Gold remains pressured as fresh US inflation and rate outlooks keep investor risk appetite in check.

8. 🌍 Scorching heat brings a record number of heat-related deaths in England, raising fresh concerns over climate risk for the economy.

9. 🏦 Efforts by major banks to curb stablecoin rewards lack strong supporting evidence, according to recent reports.

10. 🧑‍💻 Cryptography advances as Ring deploys new encryption for video data, stepping up privacy for millions of users.

11. 🤖 AI startup Arga secures $10M funding round aimed at enhancing business automation.

12. 🔒 A new stealth startup lands $6M to harness LLMs and cybersecurity expertise for smarter AI queries.

13. ⚡ Robotics valuations are surging as Anthropic's growth spurs broader investor optimism in AI and automation sectors.

14. 🏢 Only 28% of US business schools currently offer blockchain courses amid rising demand for crypto skills.

15. 🧐 A background-check dating platform powered by public data sparks fresh privacy concerns.

16. 🎬 UK drama explores fallout from the Scottish National Party embezzlement scandal, impacting reputations in politics.

17. 🧬 Dementia study finds hormone replacement therapy may lower the risk for postmenopausal women.

Looks like privacy concerns are now just a subscription away—and your date might come with a background check!

Follow @Xpress_24_7 for daily market intelligence.

#StockMarket #Economy #AI #Gold",2026-08-26 13:05:58+00:00,4.0,0.0,1.0
2092612856617333173,twitter,Boston Scientific Stock Is Falling as Cyberattack Puts More Strain on the Medical Device Maker https://t.co/e4RLjgpGcu,2026-08-26 13:59:18+00:00,3.0,0.0,1.0
2092618737614557546,twitter,"Medical device maker Boston Scientific said on Wednesday that a cyberattack disrupted its global operations, including systems it relies on to process and ship customer orders. https://t.co/t8nPbGLpze",2026-08-26 14:22:40+00:00,2.0,0.0,1.0
2092618837174718591,twitter,"Medical device maker Boston Scientific said a cyberattack disrupted its global operations, including systems it relies on to process and ship customer orders.  https://t.co/yUN0zI7THN",2026-08-26 14:23:04+00:00,18.0,6.0,15.0
2092629441641849085,twitter,"Boston Scientific said on Wednesday that a cybersecurity incident had disrupted global operations, including some information systems used to process and ship customer orders. https://t.co/P2LEh8bnOh",2026-08-26 15:05:12+00:00,1.0,1.0,0.0
2092630269937307865,twitter,Medical device maker Boston Scientific is being hit by a cyberattack https://t.co/fgoUpTnqQJ,2026-08-26 15:08:30+00:00,2.0,0.0,0.0
2092633061913452554,twitter,"Boston Scientific says cyberattack disrupted operations globally
https://t.co/eXCfLPk8Fa

https://t.co/eXCfLPk8Fa",2026-08-26 15:19:35+00:00,17.0,3.0,8.0
2092633852200263962,twitter,Boston Scientific says cyberattack disrupted operations globally https://t.co/cB6xp1tbOS #Security,2026-08-26 15:22:44+00:00,0.0,0.0,0.0
2092638056843014278,twitter,Boston Scientific says cyberattack disrupted operations globally https://t.co/jV9LYA42Ay,2026-08-26 15:39:26+00:00,3.0,0.0,1.0
2092639346050617703,twitter,Boston Scientific discloses 'global disruption' in ongoing cyberattack https://t.co/OvL3QMAdRn,2026-08-26 15:44:34+00:00,0.0,0.0,1.0
2092639467832274982,twitter,Boston Scientific discloses 'global disruption' in ongoing cyberattack https://t.co/X3s6qm6zbp,2026-08-26 15:45:03+00:00,1.0,0.0,1.0
2092650856613073173,twitter,"Boston Scientific Stock Crumbles After Cybersecurity Attack
https://t.co/a46fdi0KVo",2026-08-26 16:30:18+00:00,0.0,0.0,0.0
2092652092464763376,twitter,"Boston Scientific hit by cyberattack, global operations affected https://t.co/wcYAeUV9nl https://t.co/wcYAeUV9nl",2026-08-26 16:35:13+00:00,24.0,2.0,8.0
2092680372542689750,twitter,BREAKING: Boston Scientific reports global cyberattack disrupting operations across its medical-device business.,2026-08-26 18:27:35+00:00,5.0,0.0,1.0
2092693854961176686,twitter,"Medical device manufacturer Boston Scientific says a cyberattack disrupted some of its IT systems and global operations, including order processing and shipping (@billtoulas / BleepingComputer)

(Visit Techmeme dot com for the link and full context!)",2026-08-26 19:21:10+00:00,2.0,3.0,0.0
2092701152395620861,twitter,"Boston Scientific said on Wednesday that a cybersecurity incident had disrupted global operations, including some information systems used to process and ship customer orders. https://t.co/eroz1xHPYN",2026-08-26 19:50:09+00:00,1.0,0.0,3.0
2092713737660616816,twitter,"Boston Scientific hit by cyberattack, global operations affected https://t.co/uMXuVeCL1v https://t.co/uMXuVeCL1v",2026-08-26 20:40:10+00:00,9.0,1.0,8.0
2092718865432055947,twitter,"Boston Scientific hit by a cyberattack, with global operations affected https://t.co/JfjbMUaI3b",2026-08-26 21:00:33+00:00,2.0,0.0,3.0
2092780382160912836,twitter,"DAILY TECH NEWS ROUNDUP 🚨

Everything important that happened in tech during the last 24 hours:

• NVIDIA posted record $96.2B quarterly revenue as data-center sales hit $89B, underscoring accelerating AI infrastructure demand.

• OpenAI revealed its first custom inference chip, with Sam Altman saying “we made a chip and it is fast” as the company targets deployment by year-end.

• The DOJ and FBI seized infrastructure used by a China-linked hacking operation that targeted U.S. government and critical infrastructure networks.

• Meta agreed to pay up to $18B and impose strict new limits and age controls on teen Facebook and Instagram accounts.

• Boston Scientific suffered a global cyberattack that disrupted systems used to process and ship medical-device orders.

• AWS agreed to acquire DuckLabs, bringing the team behind open-source DuckDB into its cloud analytics business while keeping DuckDB independent and MIT-licensed.

• https://t.co/l3nfUDvApa released the open-weight GLM-5.3-Flash, a 320B-parameter multimodal model with a 1M-token context window and ultra-low API pricing.

• Alibaba’s Qwen team open-sourced Qwen3.8-Flash-Next, previewing the architecture and efficiency innovations planned for Qwen4.

• IBM completed its acquisition of HRL Laboratories, adding silicon-spin quantum computing expertise to its superconducting quantum program.

• Salesforce raised its outlook after $11.35B in quarterly revenue and expanded its Anthropic partnership through Claudeforce.

• GPUThor researchers demonstrated Rowhammer attacks capable of bypassing ECC protections on NVIDIA Ampere GPUs and achieving privilege escalation.

• Google is moving its roughly 90-person AI responsibility team from DeepMind to Global Affairs, raising concerns among researchers about the group’s independence.",2026-08-27 01:04:59+00:00,6.0,1.0,0.0
2092842818230194400,twitter,"Η κυβερνοασφάλεια δεν μπορεί να εγγυηθεί το απρόσβλητο. Μπορούμε όμως να χτίσουμε ανθεκτικότητα.

Αν το Υπουργείο Δικαιοσύνης των ΗΠΑ, η Federal Reserve, το Υπουργείο Ενέργειας, η NASA, ακόμη και η Γερουσία μπορούν να βρεθούν στο στόχαστρο μιας εξελιγμένης, κρατικά υποστηριζόμενης κυβερνοεπιχείρησης, μπορεί άραγε οποιοσδήποτε οργανισμός να θεωρεί ότι βρίσκεται εκτός εμβέλειας;

Αυτή την εβδομάδα, οι αμερικανικές αρχές προχώρησαν στην εξάρθρωση υποδομών κυβερνοεπιθέσεων που φέρεται να διαχειριζόταν εταιρεία με έδρα την Κίνα, στους πελάτες της οποίας περιλαμβάνονταν το Υπουργείο Κρατικής Ασφάλειας της Κίνας και ο Λαϊκός Απελευθερωτικός Στρατός. Ορισμένες από τις απόπειρες πέτυχαν. Άλλες απέτυχαν.

Αυτή η διάκριση έχει σημασία. Στο σημερινό περιβάλλον απειλών, πρέπει να θεωρούμε τις απόπειρες δεδομένες.

Το πραγματικό ερώτημα είναι: τι συμβαίνει μετά;

Κυβερνοεπίθεση στην Boston Scientific προκάλεσε προβλήματα στις παγκόσμιες λειτουργίες της, επηρεάζοντας μεταξύ άλλων συστήματα που υποστηρίζουν παραγγελίες και αποστολές ιατροτεχνολογικών προϊόντων.

Στη Νορβηγία, μεγάλη επίθεση DDoS προκάλεσε διακοπές σε δέκα ψηφιακές δημόσιες υπηρεσίες, με επιπτώσεις και σε τμήματα του συστήματος υγείας.

Εθνική ασφάλεια. Υγεία. Ψηφιακό κράτος.

Διαφορετικές απειλές. Ένα κοινό συμπέρασμα: κανένας οργανισμός δεν μπορεί να εγγυηθεί ότι είναι απρόσβλητος.

Η πρόληψη παραμένει απαραίτητη. Το ίδιο όμως ισχύει για τον έγκαιρο εντοπισμό, την επιχειρησιακή συνέχεια, τον περιορισμό των επιπτώσεων και την ανάκαμψη.

Γι’ αυτό έχει σημασία η NIS2.

Αν η εφαρμογή της μετατραπεί σε ακόμη μία άσκηση συμμόρφωσης, με πολιτικές και κουτάκια που πρέπει να συμπληρωθούν, θα έχουμε χάσει τον πραγματικό της σκοπό.

Η ουσιαστική της αξία είναι και πολιτισμική.

Η διαχείριση κινδύνων, η αντιμετώπιση περιστατικών, η επιχειρησιακή συνέχεια, η ασφάλεια της εφοδιαστικής αλυσίδας και η λογοδοσία της διοίκησης πρέπει να αποτελούν μέρος του τρόπου λειτουργίας κάθε οργανισμού.

Μπορείς να συμμορφωθείς με ένα checklist. Δεν μπορείς να χτίσεις ανθεκτικότητα με ένα checklist.

Η κουλτούρα ξεκινά από την κορυφή. Η κυβερνοασφάλεια δεν μπορεί πλέον να ανατίθεται απλώς στο τμήμα IT.

Η Τεχνητή Νοημοσύνη μπορεί να αναλύσει τεράστιο όγκο δεδομένων ασφαλείας, να εντοπίσει ανωμαλίες και να επιταχύνει τον εντοπισμό και την αντιμετώπιση απειλών. Μπορεί όμως να αξιοποιηθεί και από τους επιτιθέμενους.

Η ΤΝ δεν μπορεί να δημιουργήσει οργανωσιακή κουλτούρα, να ασκήσει ηγεσία ή να αντικαταστήσει την ανθρώπινη κρίση.

Μπορεί να μειώσει τον χρόνο μεταξύ μιας εισβολής και του εντοπισμού της. Δεν μπορεί να αντικαταστήσει την ετοιμότητα.

Για την Κύπρο, αυτό είναι ιδιαίτερα σημαντικό.

Η οικονομία μας είναι μικρή, ανοικτή και εξαρτάται ολοένα περισσότερο από διασυνδεδεμένες ψηφιακές υπηρεσίες. Η NIS2 επεκτείνει το πλαίσιο ανθεκτικότητας σε ένα πολύ ευρύτερο μέρος της οικονομίας και του δημόσιου τομέα μας.

Όμως η νομοθεσία από μόνη της δεν θα καταστήσει την Κύπρο ανθεκτική.

Πρέπει να μετατρέψουμε τη συμμόρφωση σε πραγματική ικανότητα: ισχυρότερη κουλτούρα κυβερνοασφάλειας, προετοιμασμένη ηγεσία, εκπαιδευμένους ανθρώπους και δοκιμασμένα σχέδια επιχειρησιακής συνέχειας.

Καθώς η Κύπρος επιδιώκει να ανταγωνιστεί μέσω της τεχνολογίας, της καινοτομίας και υπηρεσιών υψηλότερης προστιθέμενης αξίας, η ψηφιακή εμπιστοσύνη μπορεί να αποτελέσει ανταγωνιστικό πλεονέκτημα. Αλλά μόνο αν την κερδίσουμε.

Όσο περισσότερο η οικονομία μας εξαρτάται από ψηφιακές υποδομές, τόσο περισσότερο η κυβερνοανθεκτικότητα γίνεται οικονομική ανθεκτικότητα.

Ο στόχος δεν είναι το απρόσβλητο. Ένας τέτοιος κόσμος δεν υπάρχει.

Ο στόχος είναι να μπορούμε να διατηρούμε τις κρίσιμες λειτουργίες, να ανακάμπτουμε γρήγορα και να μαθαίνουμε.

Αυτό σημαίνει πραγματική κυβερνοανθεκτικότητα.

Η NIS2 δεν είναι απλώς ακόμη μία κανονιστική υποχρέωση. Είναι επένδυση στην ανθεκτικότητα, την ανταγωνιστικότητα και το μέλλον της Κύπρου.

#CyberSecurity #NIS2 #CyberResilience #Cyprus",2026-08-27 05:13:05+00:00,5.0,0.0,1.0
2092858444512460998,twitter,Boston Scientific is dealing with a cybersecurity attack that is disrupting its operations as the company works to restore its systems. https://t.co/9SzMfqvjh0,2026-08-27 06:15:11+00:00,1.0,0.0,0.0
news_0027,news,Boston Scientific (BSX) Cyberattack Disrupts Global Orders And Key IT Systems - finance.yahoo.com,2026-08-27 07:00:00+00:00,,,
news_0074,news,Boston Scientific Says a Cyberattack Has Disrupted Systems Used to Process and Ship Medical Device Orders - Medical Daily,2026-08-27 07:00:00+00:00,,,
news_0079,news,Boston Scientific says cyberattack is causing a ‘global disruption’ to medical device operations - TechRadar,2026-08-27 07:00:00+00:00,,,
news_0012,news,Cyberattack on Boston Scientific causes global ops disruption - pharmaphorum,2026-08-27 07:00:00+00:00,,,
news_0059,news,Boston Scientific cyberattack: Cork staff asked to work remotely - Silicon Republic,2026-08-27 07:00:00+00:00,,,
news_0033,news,Everything we know about the Boston Scientific cyber attack so far - IT Pro,2026-08-27 07:00:00+00:00,,,
news_0094,news,Boston Scientific Reveals Global Disruption After Cyber Incident - Infosecurity Magazine,2026-08-27 07:00:00+00:00,,,
news_0031,news,Boston Scientific impacted by ongoing cyberattack - Medical Device Network,2026-08-27 07:00:00+00:00,,,
news_0019,news,Cyberattack Causes Global Disruption at Boston Scientific - securityweek.com,2026-08-27 07:00:00+00:00,,,
news_0098,news,"Boston Scientific Drops 3.4%, $2.5 Billion Value Lost Following Global Cyberattack - TechStock²",2026-08-27 07:00:00+00:00,,,
news_0010,news,When a device maker goes dark: What the Boston Scientific cyberattack means for your patients - Medical Economics,2026-08-27 07:00:00+00:00,,,
news_0093,news,Boston Scientific Cyberattack Halts Shipments: Weeks of Device Delays Threaten Hospital Supply - Tech Times,2026-08-27 07:00:00+00:00,,,
2092915115167273265,twitter,"ボストン・サイエンティフィック社、進行中のサイバー攻撃による「世界的な混乱」を公表 

Boston Scientific discloses 'global disruption' in ongoing cyberattack  #Register (Aug 26)

https://t.co/Nxme6xff4j",2026-08-27 10:00:22+00:00,4.0,0.0,3.0
2092915724553793846,twitter,Boston Scientific Reveals Global Disruption After Cyber Incident https://t.co/gkeEgdA2Ms #cybersecurity #infosec #hacking,2026-08-27 10:02:47+00:00,0.0,0.0,0.0
2092919903032340674,twitter,Cyberattack Causes Global Disruption at Boston Scientific https://t.co/XQ3lxW1NQW,2026-08-27 10:19:24+00:00,2.0,0.0,1.0
2092946360488096067,twitter,Boston Scientific who makes my pacemaker had a cyberattack.  Nothing shocks me anymore.,2026-08-27 12:04:32+00:00,7.0,1.0,0.0
2092948544793772436,twitter,Boston Scientific says cyberattack is causing a ‘global disruption’ to medical device operations https://t.co/cAJYjqPGn2,2026-08-27 12:13:12+00:00,1.0,0.0,0.0
2092967045423943873,twitter,"A CYBERATTACK JUST BECAME A SUPPLY-CHAIN PROBLEM.

BOSTON SCIENTIFIC SAYS ITS IT DISRUPTION IS AFFECTING CUSTOMER-ORDER PROCESSING AND SHIPMENTS WORLDWIDE.

THE STOCK LOST ROUGHLY $2.5B IN MARKET VALUE.

THE BIGGER LESSON:

CYBER RISK ISN'T JUST ABOUT STOLEN DATA ANYMORE.

IT'S OPERATIONAL RISK.",2026-08-27 13:26:43+00:00,3.0,0.0,1.0
2092972507792073140,twitter,"Cyberattack causes network outage at Boston Scientific, disrupts global operations https://t.co/jIGZCPRq2e",2026-08-27 13:48:26+00:00,1.0,0.0,0.0
2092985655403888866,twitter,"The Boston Scientific cyberattack is another reminder of the real-world impact of cybercrime on healthcare operations.

Read the CBS News coverage, featuring BlackFog: https://t.co/TARxlxO0GM https://t.co/GJwt638Vlv",2026-08-27 14:40:40+00:00,1.0,0.0,0.0
2093001980796973436,twitter,"🚨 🤖  Boston Scientific attack disrupts shipments

A global network outage limited systems used to process and ship medical-device orders.

🔗 read more: https://t.co/NJILA1Uapx

#ransomNews #cyberthreats #Healthcare",2026-08-27 15:45:32+00:00,4.0,0.0,0.0
2093008583705190572,twitter,If you have a Boston Scientific pacemaker/defib.  Your transmitter may be failing to transmit daily.  I’ve never had a problem before this cyberattack.   Getting a new box and transmitter but no estimate on when they will ship as they are ‘down’,2026-08-27 16:11:47+00:00,3.0,0.0,2.0
2093035820764590495,twitter,"Boston Scientific says a cyberattack is causing a ""global disruption"" to operations. Order processing is down and they have not said what got in or how far.

A medical device maker with hospitals waiting on shipments. Ransomware crews know exactly who pays fast.
@bostonsci @techimpactTV https://t.co/4LsxrEK4U0
https://t.co/KMuQOQZtYj",2026-08-27 18:00:01+00:00,5.0,0.0,0.0
2093039236786040951,twitter,Shifts cancelled at Boston Scientific in Cork after cyberattack https://t.co/ISqT8BmB5j,2026-08-27 18:13:35+00:00,3.0,0.0,0.0
2093042910748975324,twitter,Shifts cancelled at Boston Scientific in Cork after cyberattack https://t.co/LUHH9yBiv3,2026-08-27 18:28:11+00:00,2.0,0.0,1.0
2093059006814163437,twitter,"🇺🇸🚨 BOSTON SCIENTIFIC DISCLOSES CYBERATTACK CAUSING GLOBAL OPERATIONAL DISRUPTION

Boston Scientific Corporation has disclosed a cybersecurity incident affecting certain IT systems and disrupting the medical technology company's operations globally.

The incident was identified on August 25, 2026, according to the company's Form 8-K disclosure.

* Certain information systems and business applications have been disrupted or remain inaccessible
* The incident is affecting Boston Scientific's ability to process and ship customer orders
* Disruptions are expected to continue
* The timeline for full restoration is currently unknown
* Boston Scientific activated its incident-response protocols
* Third-party cybersecurity experts have been brought in to investigate and contain the threat
* The full scope, nature and operational/financial impact remain under investigation
* The company has not yet determined whether the incident is reasonably likely to have a material impact

⚠️ Analyst Note:

The operational impact is particularly important.

This isn't simply a disclosure of unauthorized access: Boston Scientific explicitly says the incident has caused a global disruption and is interfering with its ability to process and ship customer orders.

Given Boston Scientific's role in the medical-device ecosystem, prolonged disruption could potentially create downstream supply-chain implications for healthcare organizations.

At this stage, Boston Scientific has NOT publicly attributed the incident to ransomware or any specific threat actor, and the disclosure does not confirm data theft.

We will continue monitoring dark-web and ransomware channels for any claims related to the incident.

Source: Boston Scientific Corporation — Form 8-K, August 26, 2026
https://t.co/P4daAQNiS0

#DDW #CyberSecurity #BostonScientific #Healthcare",2026-08-27 19:32:09+00:00,17.0,3.0,4.0
2093062318850560250,twitter,Boston Scientific is dealing with a cybersecurity attack that is disrupting its operations as the company works to restore its systems. https://t.co/xoVnnLbRqd,2026-08-27 19:45:18+00:00,6.0,2.0,1.0
2093131195861385726,twitter,Cyberattack Causes Global Disruption at Boston Scientific https://t.co/XQ3lxW2lGu,2026-08-28 00:19:00+00:00,4.0,0.0,1.0
news_0037,news,"Weekly news roundup: Meta settles lawsuit, Big Tech acquisitions and Boston Scientific cyberattack - TechTarget",2026-08-28 07:00:00+00:00,,,
news_0005,news,Boston Scientific says cyberattack has disrupted product manufacturing - MedTech Dive,2026-08-28 07:00:00+00:00,,,
news_0088,news,No timeline for restoration of operations at Boston Scientific after cyberattack - Irish Examiner,2026-08-28 07:00:00+00:00,,,
news_0070,news,Boston Scientific still working to restore operations days after cybersecurity attack - The Business Journals,2026-08-28 07:00:00+00:00,,,
2093350194347745434,twitter,"📢Boston Scientific cybersecurity incident – BHRS update

No impact to device function or remote monitoring for patients enrolled before 25/8/26.

BHRS has published an update for clinical teams, including guidance to share with patients.

Full update: https://t.co/xmuVYPPtT0",2026-08-28 14:49:13+00:00,2.0,0.0,1.0
2093401602866483710,twitter,No timeline for restoration of operations at Boston Scientific after cyberattack https://t.co/YWYM5vO3rN,2026-08-28 18:13:30+00:00,4.0,0.0,0.0
news_0090,news,Hack Hindering Boston Scientific Cardiac Device Monitoring - BankInfoSecurity,2026-08-28 20:29:50+00:00,,,
2094094485290463455,twitter,"Boston Scientific Cyberattack Update : $BSX 

This morning I spoke with a person who has been employed by Boston for 25 years and holds a higher position. 

Employees worldwide have been put on leave with no indication of return date. 

My source is not aware of any ransomware group taking credit but says that is something being well kept behind closed doors .

As far as data of patients and hospitals being stolen that remains under investigation. 

This cyberattack was very serious and very damaging. 

My source says they will contact me as soon as more information comes avaliable to them . 

The cyberattack happened on or around August 25th .",2026-08-30 16:06:46+00:00,7.0,0.0,2.0
news_0085,news,Boston Scientific cyberattack disrupts manufacturing and order processing with no restoration timeline - teiss,2026-08-31 07:00:00+00:00,,,
news_0097,news,Boston Scientific Working to Restore Shipments After Cyberattack - marketscreener.com,2026-08-31 07:00:00+00:00,,,
news_0006,news,Boston Scientific Still Recovering From Cyberattack - securityweek.com,2026-08-31 07:00:00+00:00,,,
2094377624667656454,twitter,Boston Scientific Still Recovering From Cyberattack https://t.co/w6wx9GYdld,2026-08-31 10:51:52+00:00,6.0,0.0,1.0
2094401304298656044,twitter,Boston Scientific Still Recovering From Cyberattack https://t.co/ROky2XTCZ2,2026-08-31 12:25:57+00:00,0.0,0.0,0.0
2094618999120449979,twitter,Boston Scientific Still Recovering From Cyberattack https://t.co/w6wx9GYLaL,2026-09-01 02:51:00+00:00,3.0,0.0,0.0
news_0051,news,Boston Scientific Cyberattack Disrupts Manufacturing and Product Shipments - gbhackers.com,2026-09-01 07:00:00+00:00,,,
2095078256445739104,twitter,"Did 1 of @bostonsci visa workers get careless w/ cybersecurity @SecMullinDHS @SecKennedy @howardlutnick? (thread)

https://t.co/bvpYCzk07S",2026-09-02 09:15:55+00:00,11.0,1.0,4.0
news_0016,news,"Cyber Attack Hits Cardiac Device Maker Boston Scientific, Disrupting Global Operations - CPO Magazine",2026-09-03 07:00:00+00:00,,,
news_0086,news,Cyberattack & Weak 2026 Outlook Weigh on BSX: Is the Stock a Sell? - finance.yahoo.com,2026-09-03 07:00:00+00:00,,,
news_0023,news,"Boston Scientific Struggles With Manufacturing, Shipping Disruptions Following Cyberattack - mddionline.com",2026-09-03 20:22:11+00:00,,,
news_0065,news,Boston Scientific restoring shipping after cyberattack (BSX) - Seeking Alpha,2026-09-04 07:00:00+00:00,,,
2095927800826143077,twitter,"$BSX Stepping aside here and reassessing near-term risk and operational reality...

When Boston Scientific first filed their 8-K disclosing a cybersecurity incident that disrupted order processing, my initial take was to treat it as standard headline noise... simple order deferrals rather than a structural issue. But as I've dug deeper into the supply-chain data and operational precedents across the sector, intellectual honesty requires admitting this disruption could easily carry more weight than first meets the eye. Ultimately, when earnings roll around, the numbers on the page and how the tape reacts to them are all that matter.

I have been vocal about my long-term bullish thesis on BSX sharing my entries, options structures, and sizing as we accumulated shares off the washed-out lows. We caught a solid rebound off the bottom. But active risk management requires the discipline to step back when the fundamental picture introduces operational unknowns that can't be reliably quantified:

• The sector precedent: Unfortunately, this isn't an isolated event; we've seen a clear wave of attacks hitting peers across the medtech space this year, including $SYK $ABT $ISRG and $MDT. Stryker’s experience in March is a prime benchmark: their breach crippled ordering, manufacturing, and shipping for weeks, resulting in a Q1 top-and-bottom-line miss. On their earnings call, Stryker CEO Kevin Lobo stated directly:

""The cyber incident had a big impact on our results and affected each of our businesses differently given their varied go-to-market models and processes to record revenue. This resulted in distortions in our first-quarter results that will normalize over the course of the year.""

• Regulatory & operational friction: In medtech, operational recovery isn't just about restoring an IT network or turning servers back on. Manufacturing lines operate inside strict, FDA-validated quality environments. Recalibrating processes, validating batch releases, and clearing backlogs takes time. With key facilities like Cork, Ireland sending production workers home during the outage, the flow of goods has faced measurable friction that will likely spill into quarterly numbers.

• Context on insider buying: Insiders have shown substantial conviction on the way down... CEO Mike Mahoney deployed roughly $9.0 million of personal capital on the open market in early August, alongside multiple director purchases. However, those transactions occurred before this cyber disruption hit. Leadership bought based on long-term valuation and turnaround pipeline visibility, not with foresight of a sudden operational shutdown.

All told, I remain a believer in the Boston Scientific franchise long-term, but turning a blind eye to supply-chain drag and near-term margin risk is a fast way to give back hard-earned profits. I have harvested gains off the washout lows, unwound near-term exposure, and stepped aside for now. If the stock grinds higher without me, so be it... I’d rather let the dust settle and evaluate the actual financial impact in black and white before re-engaging.

Execution discipline over emotion. Good luck out there... and trade 'em well. 😊",2026-09-04 17:31:42+00:00,8.0,1.0,0.0
news_0056,news,"Boston Scientific says unlikely to meet 2026 sales, profit forecast after cyberattack - theinsurer.com",2026-09-08 07:00:00+00:00,,,
