text_id,source,post_text,timestamp,likes,comments,shares
news_0032,news,Cyberattack on Boston Scientific Disrupts Order Processing - mddionline.com,"Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0033,news,Everything we know about the Boston Scientific cyber attack so far - IT Pro,"Thu, 27 Aug 2026 07:00:00 GMT",,,
news_0034,news,Medical device maker Boston Scientific says a cyberattack is causing a 'global disruption' to its operations - TechCrunch,"Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0035,news,Boston Scientific stock falls as cyberattack forces 2026 guidance rethink - AD HOC NEWS,"Sat, 19 Sep 2026 10:20:31 GMT",,,
news_0036,news,Medical device firm Boston Scientific says cyberattack has disrupted shipment processes - The Record from Recorded Future News,"Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0037,news,"Weekly news roundup: Meta settles lawsuit, Big Tech acquisitions and Boston Scientific cyberattack - TechTarget","Fri, 28 Aug 2026 07:00:00 GMT",,,
news_0038,news,Boston Scientific ‘Unlikely to Meet’ Earnings Guidance After Cyberattack. Stock Falls. - Barron's,"Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0039,news,Boston Scientific left nursing its bottom line after cyberattack - The Register,"Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0040,news,Boston Scientific hit by cyberattack causing ‘disruptions’ to parts of its business - Fierce Biotech,"Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0041,news,"Boston Scientific cyberattack disrupts global operations, shipments - finance.yahoo.com","Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0042,news,Boston Scientific (BSX) Didn’t Miss on Demand or Devices. A Cyberattack Just Broke Its Guidance. - finance.yahoo.com,"Sun, 13 Sep 2026 07:00:00 GMT",,,
news_0043,news,Boston Scientific Stock Slides After Cyberattack Caused ‘Global Disruption’ - Investopedia,"Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0044,news,Boston Scientific unlikely to meet guidance due to cyberattack - MedTech Dive,"Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0045,news,"Boston Scientific Says Cyberattack Will Impact 2026 Results — Says It Is ‘Unlikely’ To Meet Net Sales Growth, EPS Guidance Ranges - TradingView","Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0046,news,Cyberattack Disrupts Boston Scientific’s Operations: 7 Things to Know - MedCity News,"Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0047,news,"Boston Scientific resumes shipping after cyberattack, but says it's 'unlikely' to hit growth target - The Business Journals","Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0048,news,Boston Scientific says cyberattack disrupted operations globally - BleepingComputer,"Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0049,news,Cyberattack disrupts Boston Scientific as medtech incidents mount - Insurance Business,"Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0050,news,TD Cowen maintains Boston Scientific stock rating after cyberattack By Investing.com - Investing.com Canada,"Thu, 17 Sep 2026 14:53:56 GMT",,,
news_0051,news,Boston Scientific Cyberattack Disrupts Manufacturing and Product Shipments - gbhackers.com,"Tue, 01 Sep 2026 07:00:00 GMT",,,
news_0052,news,Boston Scientific stock holds steady as analysts weigh cyberattack impact - AD HOC NEWS,"Sun, 20 Sep 2026 09:28:11 GMT",,,
news_0053,news,Boston Scientific misses 2026 guidance after cyberattack - qz.com,"Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0054,news,TD Cowen maintains Boston Scientific stock rating after cyberattack By Investing.com - Investing.com Nigeria,"Thu, 17 Sep 2026 14:39:20 GMT",,,
news_0055,news,Boston Scientific Warns On Earnings After Cyberattack - TradingView,"Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0056,news,"Boston Scientific says unlikely to meet 2026 sales, profit forecast after cyberattack - theinsurer.com","Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0057,news,Cyberattack Disrupts Boston Scientific's Global Operations - BankInfoSecurity,"Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0058,news,Boston Scientific Says It Won't Meet Guidance After Cyberattack - mddionline.com,"Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0059,news,Boston Scientific cyberattack: Cork staff asked to work remotely - Silicon Republic,"Thu, 27 Aug 2026 07:00:00 GMT",,,
news_0060,news,Boston Scientific says a cyberattack is disrupting its global operations - CBS News,"Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0061,news,"Boston Scientific hit by cyberattack, global operations affected - finance.yahoo.com","Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0062,news,"Boston Scientific (BSX) Faces Cyberattack And Recall Fallout, Is The Sell Off Overdone? - simplywall.st","Tue, 15 Sep 2026 16:24:06 GMT",,,
news_0063,news,"Boston Scientific says cyberattack likely to hurt 2026 sales, profit By Reuters - Investing.com","Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0064,news,"Boston Scientific Says Cyberattack Will Impact 2026 Results — Says It Is ‘Unlikely’ To Meet Net Sales Growth, EPS Guidance Ranges - Stocktwits","Sat, 19 Sep 2026 02:34:54 GMT",,,
news_0065,news,Boston Scientific restoring shipping after cyberattack (BSX) - Seeking Alpha,"Fri, 04 Sep 2026 07:00:00 GMT",,,
news_0066,news,Boston Scientific Shares Slide After Cyberattack Disrupts Global Operations - finance.biggo.com,"Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0067,news,Boston Scientific Is Fully Operational After August Cyberattack - mddionline.com,"Fri, 11 Sep 2026 07:00:00 GMT",,,
news_0068,news,TD Cowen maintains Boston Scientific stock rating after cyberattack By Investing.com - Investing.com Australia,"Thu, 17 Sep 2026 15:44:49 GMT",,,
news_0069,news,News - Boston Scientific cyber-attack puts medical supply chains in the spotlight - teiss,"Wed, 09 Sep 2026 07:00:00 GMT",,,
news_0070,news,Boston Scientific still working to restore operations days after cybersecurity attack - The Business Journals,"Fri, 28 Aug 2026 07:00:00 GMT",,,
news_0071,news,Boston Scientific stock falls after cyberattack guidance hit - AD HOC NEWS,"Wed, 16 Sep 2026 14:16:36 GMT",,,
news_0072,news,Boston Scientific stock slips after Citi downgrade and cyberattack fallout - AD HOC NEWS,"Fri, 18 Sep 2026 13:52:15 GMT",,,
news_0073,news,"Boston Scientific hit by cyberattack, global operations affected By Reuters - Investing.com","Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0074,news,Boston Scientific Says a Cyberattack Has Disrupted Systems Used to Process and Ship Medical Device Orders - Medical Daily,"Thu, 27 Aug 2026 07:00:00 GMT",,,
news_0075,news,Boston Scientific Stock Falls 6% Following Cyberattack Impact on Sales and Profit Targets - tikr.com,"Wed, 09 Sep 2026 07:00:00 GMT",,,
news_0076,news,Boston Scientific restores operations after cyber attack stymied production for over two weeks - The Business Journals,"Thu, 10 Sep 2026 07:00:00 GMT",,,
news_0077,news,Boston Scientific discloses 'global disruption' in ongoing cyberattack - The Register,"Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0078,news,Boston Scientific Stock Is Falling as Cyberattack Puts More Strain on the Medical Device Maker - Barron's,"Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0079,news,Boston Scientific says cyberattack is causing a ‘global disruption’ to medical device operations - TechRadar,"Thu, 27 Aug 2026 07:00:00 GMT",,,
news_0080,news,Boston Scientific at Wells Fargo conference: cyberattack clouds outlook By Investing.com - Investing.com South Africa,"Thu, 10 Sep 2026 14:25:23 GMT",,,
news_0081,news,"Russia Turns to Sabotage, Cyberattacks Against Ukraine’s Allies - WSJ","Mon, 31 Aug 2026 07:00:00 GMT",,,
news_0082,news,Boston Scientific Hammered On Cybersecurity Attack - Investor's Business Daily,"Wed, 26 Aug 2026 07:00:00 GMT",,,
news_0083,news,Boston Scientific Expects to Miss Its 2026 Targets After a Cyberattack and Restores Cardiac Monitoring Signups - Medical Daily,"Wed, 09 Sep 2026 07:00:00 GMT",,,
news_0084,news,Boston Scientific struggles to meet its forecast following cyberattack - medwatch.com,"Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0085,news,Boston Scientific cyberattack disrupts manufacturing and order processing with no restoration timeline - teiss,"Mon, 31 Aug 2026 07:00:00 GMT",,,
news_0086,news,Cyberattack & Weak 2026 Outlook Weigh on BSX: Is the Stock a Sell? - finance.yahoo.com,"Thu, 03 Sep 2026 07:00:00 GMT",,,
news_0087,news,Boston Scientific Says It Won't Meet 2026 Guidance After Cyberattack - Benzinga,"Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0088,news,No timeline for restoration of operations at Boston Scientific after cyberattack - Irish Examiner,"Fri, 28 Aug 2026 07:00:00 GMT",,,
news_0089,news,Boston Scientific's cyberattack delays Q3 reven... - Pluang,"Fri, 11 Sep 2026 15:18:10 GMT",,,
news_0090,news,Hack Hindering Boston Scientific Cardiac Device Monitoring - BankInfoSecurity,"Fri, 28 Aug 2026 20:29:50 GMT",,,
news_0091,news,Boston Scientific on road to recovery following cyberattack - finance.yahoo.com,"Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0092,news,Boston Scientific continues to make progress on cyberattack recovery - MassDevice,"Fri, 11 Sep 2026 07:00:00 GMT",,,
news_0093,news,Boston Scientific Cyberattack Halts Shipments: Weeks of Device Delays Threaten Hospital Supply - Tech Times,"Thu, 27 Aug 2026 07:00:00 GMT",,,
news_0094,news,Boston Scientific Reveals Global Disruption After Cyber Incident - Infosecurity Magazine,"Thu, 27 Aug 2026 07:00:00 GMT",,,
news_0095,news,Boston Scientific at Wells Fargo conference: cyberattack clouds outlook - Investing.com,"Thu, 10 Sep 2026 12:48:00 GMT",,,
news_0096,news,Boston Scientific Flags Guidance Miss Amid 'Material Impact' From Cybersecurity Incident; Shares Fall - finance.yahoo.com,"Tue, 08 Sep 2026 07:00:00 GMT",,,
news_0097,news,Boston Scientific Working to Restore Shipments After Cyberattack - marketscreener.com,"Mon, 31 Aug 2026 07:00:00 GMT",,,
news_0098,news,"Boston Scientific Drops 3.4%, $2.5 Billion Value Lost Following Global Cyberattack - TechStock²","Thu, 27 Aug 2026 07:00:00 GMT",,,
news_0099,news,Boston Scientific Restores Key Operations After Cyberattack - marketscreener.com,"Thu, 10 Sep 2026 15:33:46 GMT",,,
news_0100,news,"Boston Scientific says unlikely to meet 2026 sales, profit forecast after cyberattack - CNA","Tue, 08 Sep 2026 07:00:00 GMT",,,
