text_id,post_text,sentiment_label,topic_category
TXT_00055,Are you going to Shawn's show on September 8th? Me: (Vine by literally shawn;),Neutral,Community_Discussion
TXT_00056,Tottenham are without several big names for tonight\u2019s [Thursday] match at Stadion Ljudski vrt. Emmanuel Adebayor (cont),Neutral,Community_Discussion
TXT_00057,@user - congratulations on the 20th Birth Anniversary of @user 95.  20 years since we've come to love you (&amp; backward compatibility),Positive,Community_Discussion
TXT_00058,"dj khaled // hold you down ft. chris brown, august alsina, future, jeremih",Neutral,Technical_Issues
TXT_00059,Sam smith will be here Saturday and I'm not going....something is not right.,Negative,Community_Discussion
TXT_00060,AMintheAM #GOP2016 - Loser of the Week  Rick Perry : Not paying staff + polling at 1% or less = 1st to drop out?,Negative,Community_Discussion
TXT_00061,"@user i know, me too. This was the kakkest fake Monday ever. It could have been worse... It could have had a photo of Caitlyn Jenner""",Negative,Community_Discussion
TXT_00062,"""\""""@ESPNChrisPalmer: Dwight Howard gets his 4th career 30-point\u002c 10-rebound\u002c 5-assist game.\"""" Too bad it comes in a loss. #Portland""",Negative,Community_Discussion
TXT_00063,Got me a BAMA shirt like the 1 Lil Wayne had on last night at the concert #Biting lol IDC though lol,Neutral,Community_Discussion
TXT_00064,@user I may not agree with Wilkie's ideas but he has proven he is a man of principle...It's a pity Peter Garrett cannot say the same.,Negative,Community_Discussion
TXT_00065,Paul dunne joint 1st in open. Brilliant golf from the amateur. #TheOpenChampionship,Positive,Community_Discussion
TXT_00066,Saturday nite/Sun morning is end of Daylight Savings. FALL BACK. *if you thought it was dark in the morning before......,Neutral,Community_Discussion
TXT_00067,Niall faced serious bullying problems as a kid. He got suspended in the 3rd grade for swinging when somebody called him ugly,Negative,Account_Security
TXT_00068,@user do ya wanna go to trek at LCC this Friday with me,Neutral,Community_Discussion
TXT_00069,Confirmation that the Army v Navy at Twickers is 27 April 2012\u002c weekend off again !! #piginpoo,Neutral,Community_Discussion
TXT_00070,Rahul Dravid joining commentary team for the 1st time...Its the best moment of this test match :D,Positive,Community_Discussion
TXT_00071,My family are listening to Justin Bieber and im just  Sat here feeling a little sick,Negative,Community_Discussion
TXT_00072,Carlos Cuellar\u002c Louis Saha\u002c Adam Johnson AND Steven Fletcher? They may have had the best summer besides Chelsea.,Positive,Feature_Feedback
TXT_00073,Connor McGregor will lose Saturday and that combined with the Ronda Rousey loss may send Dana White into a deep depression #aldovsmcgregor,Negative,Community_Discussion
TXT_00074,I really want what Thor had in that flask in the 2nd Avengers. #Drank,Positive,Community_Discussion
TXT_00075,Surprising end to a Gauntlet Match between Brock Lesnar and the three weakest members of the RAW Roster in WWE 2k14. He lost to the 2nd man.,Negative,Community_Discussion
TXT_00076,the best part about the Cubs winning is the free coffee at dunkin tomorrow,Positive,Community_Discussion
TXT_00077,Watching When Harry met Sally\u002c how I love that movie!!! A) it\u2019s NYC B) it\u2019s Billy Crystal and Meg Ryan :) what a perfect start to Friday!,Positive,Community_Discussion
TXT_00078,@user awww what a great dream!! :) And it will come true SOON!!! Pennies on may 16!! BE THERE!! #618wingman,Positive,Community_Discussion
TXT_00079,bloodymary - hackers nirvana - smell like teen spirit butterfingers - nicotine feeder - 7 days in the sun smashing pumpkins - bullets with..,Neutral,Account_Security
TXT_00080,"""Kinda, yes! I went to see Equalizer tonite! I like it. It was very interesting modern day John Wayne movie...U may like it. @user",Positive,Feature_Feedback
TXT_00081,Win tomorrow and we get another shot at a 3 game set with Harvery deGrom and Thor #WontHappenAgain,Positive,Technical_Issues
TXT_00082,now watching Denzel Washington talking about his new movie flight it\u2019s comming out Nov 2nd 2012 #LateShow With David Letterman,Neutral,Community_Discussion
TXT_00083,"@user yup, technology makes it feel like you are all right next door. In which case, come over tonight for some Terra Nova! #Kain""",Positive,Community_Discussion
TXT_00084,That Janet Jackson. Sometimes she just gets me. Happy Friday friends!,Positive,Technical_Issues
TXT_00085,You only have three days left\u002c this Sunday is the last day to swim at Fairground pool this season.,Neutral,Community_Discussion
TXT_00086,In 7th grade I was introduced to the book Twilight and that's the only book that kept me out of my world.,Positive,Community_Discussion
TXT_00087,I think I may be the only person around not excited that Beyonce is the half time performer for the Superbowl.,Negative,Community_Discussion
TXT_00088,"""Saudi Arabia announced they did Eid on the wrong day, Friday was incorrect. bare of you's were chatting shit about Saturday ppl. Where u @user",Negative,Community_Discussion
TXT_00089,Jason Russell's breakdown may is a result of the overdose of the red color. When i look at the KONY signs i start to feel sick @user,Negative,Technical_Issues
TXT_00090,@user @user I just saw your link to the show...it is on Wednesday :-) YAHOO!!! thanks again.,Positive,Community_Discussion
TXT_00091,Finally watched PLL Halloween special. Yikes!! I def cannot wait for the season premier Jan 8th!!!,Positive,Community_Discussion
TXT_00092,I may have just dropped two letter grades of intelligence after listening to that Kanye West rant...,Negative,Community_Discussion
TXT_00093,RT @user There won't be just a Party in the USA tonight there'll be a Party Worldwide when Miley wins. BOOYAH! TCAForMiley,Positive,Community_Discussion
TXT_00094,@user Friday represented the worst terrorist incident in Europe since the Charlie Hebdo attacks: Chicago Tribune,Negative,Community_Discussion
TXT_00095,She said that some day soon\u002c the sun was gonna shine. And she...couldn\u2019t have been more wrong! My Valentine.,Negative,Community_Discussion
TXT_00096,"Alexis Tsipras to Angela Merkel - early Monday morning - takes his jacket off and giving it to Merkel, saying: ""Do you want this too?""",Neutral,Community_Discussion
TXT_00097,Finished my drawing of Justin. Can't wait to head to the today show tomorrow! #WhatDoYouMeanAcoustic,Positive,Community_Discussion
TXT_00098,"""In a world where Kanye West is president and Miley Cyrus performs a song saying she smoke pot and love peace, I may as well kill myself!""",Negative,Community_Discussion
TXT_00099,"If I could have any soccer player I want it'd be Prince Boateng,David Beckham or Neymar Jr....Beckham is 1st choice",Positive,Community_Discussion
TXT_00100,Saturday Aug 25th Rum Runners will be hosting the Captains Hangover...Come celebrate the ccdjo champs birthday. I might even do the wobble..,Positive,Community_Discussion
TXT_00101,With SNSD's new single out just in time for my gig at 7th Heaven do you think anyone would notice if I dropped it in?,Positive,Community_Discussion
TXT_00102,The Accounting Career Fair is this Friday! Be sure to engage with us by using #kubusfair--you might win an iPad mini!,Neutral,Account_Security
TXT_00103,"""Every time I hear the word """"hoax"""" I'm reminded of Paul McCartney on the Chris Farley show",Neutral,Community_Discussion
TXT_00104,Why is my mind doing this to me? 1st I think about Max and how he always knows when I\u2019m sad and now I think about what happens when he dies,Negative,Technical_Issues
TXT_00105,Am I the only one pumped for Jason Aldean tomorrow??,Positive,Community_Discussion
TXT_00106,What works for Kim Kardashian may not work the same way for you girls! #Facts,Negative,Community_Discussion
TXT_00107,Imagine how deprived we'd be without the Sunday morning shows sharing with us the wisdom of Sarah Palin and Dick Cheney. #p2 #topprog,Negative,Community_Discussion
TXT_00108,November 21 in the lonely hour tour.. OKAY SAM SMITH OKAY!!!! :-(((( TAPOS SOLD OUT PA OKAY!!!!! OKAY LANG TALAGA,Negative,Community_Discussion
TXT_00109,I have no idea what I'm going to wear tomorrow lol. I should be like Kim Kardashian and wear like three different outfits lol.,Neutral,Community_Discussion
TXT_00110,Rick Perry may by a vineyard and retire so he can whine all day.,Negative,Community_Discussion
TXT_00111,Jeff\u002c Joseph Arthur and the amazing Richard Stuverud.... Fox Theater in Bolder\u002c November 18th. DO NOT MISS THIS!...,Positive,Community_Discussion
TXT_00112,"""John Kasich thinks the Roots are """"offensive""""",Negative,Community_Discussion
TXT_00113,"@user If there's one thing I can guarantee Monday, it's Janet Jackson worship, which I'm always here for.""",Positive,Community_Discussion
TXT_00114,"""He then said """"Kendrick Lamar will be the a huge rapper"""". He may be a genius""",Positive,Technical_Issues
TXT_00115,Gold edges down ahead of US jobs data: SINGAPORE (Reuters) - Gold edged lower on Friday\u002c with investors waiting ...,Negative,Technical_Issues
TXT_00116,"""I may not know what I'm doing with my life right now, but I do know what songs I'd choose if I had to lip sync battle Jimmy Fallon.""",Negative,Community_Discussion
TXT_00117,I'm soooooooo goin to my Chicago bulls game on Feb 1st against the nets. Epic!!!!!! I need a date though,Positive,Community_Discussion
TXT_00118,"""With all this love coming from the city, Youngstown we better have that Metroplex thang on a MILLIE come Friday!!! #FridayNightLive""",Positive,Community_Discussion
TXT_00119,Because Tony Blair not just responsible for the death of 1m Iraqis... #warcriminal #Iraq @user,Negative,Community_Discussion
TXT_00120,"""#Ichiro has nothing. If you want to see hustle: Kenny Lofton, 17 October 1995, scores from second base on a past ball. #GoTribe #ALDS""",Neutral,Community_Discussion
TXT_00121,"""These poor kids man...Junior Nkwelle, Tia Sharp, April Jones...What if it wa your kid tho..? :( :( :(""",Negative,Community_Discussion
TXT_00122,@user I preordered it on Thursday/friday at midnight the night it came able to pre-order\u002c love you and Frankie. X,Positive,Community_Discussion
TXT_00123,"""Even if Real Madrid were at fault for the De Gea saga, Fergie would have offloaded him back in June, Van Gaal plays too many games.""",Neutral,Community_Discussion
TXT_00124,Mick Foley live on @user #Raw! Play as the 3 faces of Foley starting tomorrow in #WWE13!,Neutral,Community_Discussion
TXT_00125,House full both today and tomorrow for Bajrangi Bhaijaan and Bin Roye. But I thought the Eid craze would be settled down by now!!,Neutral,Technical_Issues
TXT_00126,Apparently Justin Beiber is in the area. I know this because I have students (plural) missing school tomorrow to see him.,Negative,Technical_Issues
TXT_00127,@user I was obsessed with Twilight in 7th grade I loved it so much,Positive,Community_Discussion
TXT_00128,@user @user @user @user Levy left us short last season but Kane saved our season. This time you may see us drift.,Positive,Community_Discussion
TXT_00129,News on Brock Lesnar at a live event which may air on the WWE Network  Details :...,Neutral,Community_Discussion
TXT_00130,"""Free to Watch!!! Justified: \""""Justified\"""" follows Marshal Raylan Givens\u002c a modern day 19th century-style lawman\u002c w...",Positive,Feature_Feedback
TXT_00131,"@user Milan, in my opinion, have only the 7th best squad, after Inter, Roma, Juventus, Lazio, Napoli and Fiorentina.""",Neutral,Community_Discussion
TXT_00132,TARHEELS finally scoe n the 2nd Half 52-0,Neutral,Community_Discussion
TXT_00133,Magic Mike XXL is so muj better than the 1st one lol,Positive,Community_Discussion
TXT_00134,@user Fuck CC. Curtis may have been the villain but let's not forget just how complacent CC was in throwing Effie under the bus,Negative,Community_Discussion
TXT_00135,"""BREAKING NEWS: Bobby, Chloe-Jasmine &amp; Stevie, Gail and Chris all face eviction from the Celebrity Big Brother house on Tuesday #cbb #CBBBOTS""",Neutral,Community_Discussion
TXT_00136,"Religious freedom, purposely protected by 1st A., is now trampled by the SCOTUS decision on gay marriage.#ImWithKim",Neutral,Community_Discussion
TXT_00137,So I just saw the commercial 4 Michael Jackson THE IMMORTAL World Tour by Cirque du Soleli is going to be here July 20 & 21 @user,Neutral,Community_Discussion
TXT_00138,"""A coworker just said, """"Muslims should just leave the country. Nobody invited them here anyways."""" as I sat maybe 10 feet away from her.""",Negative,Community_Discussion
TXT_00139,Chelsea need to beat Ajax to keep up there battle with Ajax for 2nd place #NextGenSeries,Neutral,Community_Discussion
TXT_00140,"""Dunkin' Save for America's Got Talent is open. #AGT #DunkinSave I saved Gary, may the odds be ever in you favor""",Positive,Community_Discussion
TXT_00141,"""Nope. So-called """"Christians"""" like yourself denying the equal protection of the law under the 14th Amendment. @user",Negative,Community_Discussion
TXT_00142,"""Saudi security forces opened fire on Shia protesters in the tense Qatif district of Eastern Province on Friday,  Detail",Negative,Community_Discussion
TXT_00143,Fucking part time fans. Where were you at Boro away on Saturday?,Negative,Community_Discussion
TXT_00144,Distin\u2019s derby disappointment: Sylvain Distin has voiced his frustration at taking just a point from Sunday\u2019s Mersey...,Negative,Technical_Issues
TXT_00145,I know y'all band wagoning j Cole and Kendrick if you thought Black Friday was fire,Positive,Account_Security
TXT_00146,"""Saudi security forces opened fire on Shia protesters in the tense Qatif district of Eastern Province on Friday,  Detail",Negative,Community_Discussion
TXT_00147,I just need to chill. Can\u2019t wait to unleash some aggression at Black Dahlia Murder tomorrow. #GonnaEndALife,Negative,Community_Discussion
TXT_00148,@user I\u2019m taking it easy since I\u2019ll fly to Cupertino on Sunday.,Positive,Community_Discussion
TXT_00149,"""Slider to center by Mark Trumbo and that will do for the top 3rd. Mariners lead White Sox, 4-0.""",Neutral,Community_Discussion
TXT_00150,"""Helwani to Dana White """"good luck tomorrow"""" you fucking sheep""",Negative,Community_Discussion
TXT_00151,Let's go Barca 1 goal before the 1st half ends.,Positive,Community_Discussion
TXT_00152,"Is this the end for Rick Perry? If 2011 hasn't taught him anything, he may as well campaign his way out of Federal #LOCKUP !! AND #LOSE!!",Negative,Community_Discussion
TXT_00153,guys remember that tomorrow is the last day you can donate to Pennies for Polio!!,Neutral,Community_Discussion
TXT_00154,Yakub may not be hanged because Hindus are not united. This is the sad and bitter truth. Live with it.,Negative,Community_Discussion
TXT_00155,My submission for the Dark Souls story contest.  You all may as well quit now i got this in the bag.,Positive,Feature_Feedback
TXT_00156,Harper:NDP or Liberal Govt possible Harper's spirit broken tired of so Much Hate against him of his own making Given up the ghost Peace MON,Negative,Community_Discussion
TXT_00157,@user What a giggle. When 3rd parties were DESPERATE to work with Nintendo.,Negative,Community_Discussion
TXT_00158,"""So, I'll be stuck in Charleston all day tomorrow . Who's fucking with me .""",Negative,Community_Discussion
TXT_00159,@user r yall going to be in dallas friday & saturday?,Neutral,Community_Discussion
TXT_00160,and on the 7th day God blessed us with Justin Bieber,Positive,Community_Discussion
TXT_00161,"""I grow weary of Christians who on Sunday profess their love for the one who said, 'when you do it to the least...",Positive,Community_Discussion
TXT_00162,Got my @user tickets in the mail today!! So excited to see Mario Lemieux drop the 1st puck! #Hockeyisback,Positive,Community_Discussion
TXT_00163,"""\""""Big Brother may be watching you right now\u002c and you may never know. #Surveillance is the new normal\""""",Negative,Community_Discussion
TXT_00164,"""I don't want October to go :''''( Its been sucha good month; The Vampire Diaries S4, Taylor's album, the PLL Halloween episode. WOW!""",Positive,Community_Discussion
TXT_00165,"""Anaconda's a music video gem, but T-Swift's Bad Blood is in a classic comedy vault--it's the best of its kind since Rebecca Black's """"Friday""""""",Positive,Community_Discussion
TXT_00166,I truly think that Beyonce has the power to heal people bc on thurs I was deathly ill and on friday (Beyonce's bday) I woke up feeling okay,Positive,Community_Discussion
TXT_00167,Soccer-La Liga top scorers: Oct 29 (Infostrada Sports) - Top scorers of the La Liga on Monday 13 Lionel Messi (B...,Positive,Community_Discussion
TXT_00168,@user are you going to meet dean Ambrose at iplay America next Saturday,Neutral,Community_Discussion
TXT_00169,I just realized that the only ukiss member that Hyung Jun following is Kevin..,Neutral,Community_Discussion
TXT_00170,"@user u 2 missed it. statement was plotted to take attention away from UK national Rahul Gandhi. 2ndly, such BS ll hit fan in Apr.""",Negative,Community_Discussion
TXT_00171,dont get paid till saturday but im going traffod centre tonight\u002c cba,Negative,Community_Discussion
TXT_00172,""".@htownskeptic These """"persecuted"""" Christians uused to celibrate Nov 5 by burning the Pope if effigy. @user @user @user",Negative,Community_Discussion
TXT_00173,THIS JUST IN!  We will be going to Kentucky Aug 25th for a big pool party show! Time to get nekkid!  Woo Hoo!...,Positive,Community_Discussion
TXT_00174,Dustin Johnson just took an 8 on the 1st hole. I don't feel so bad about my golf game suddenly. #PGAChampionship #snowman,Negative,Community_Discussion
TXT_00175,Watching the Rousey fight for the 10th time. This woman just motivates me dude.,Positive,Community_Discussion
TXT_00176,It's a Wednesday girls night out as '90's band Wilson Phillips fills the Winspear Opera House with their brand of top 40 joy at 8p....,Neutral,Account_Security
TXT_00177,@user @user and when I go to see Madonna in march I'm going to pretend its really you up on stage. I'll never forget u Ellen!,Positive,Community_Discussion
TXT_00178,some times on Friday I'm still compelled to sing a little Rebecca Black. just 'cause.,Neutral,Community_Discussion
TXT_00179,"Added psychotic to my library when year 12 starts tomorrow #smartmove #gonnafail""",Negative,Community_Discussion
TXT_00180,"""John Kasich, a powder-blue Republican, perfect for the Sunday talk shows.",Positive,Community_Discussion
TXT_00181,This is the 2nd time Caitlyn Jenner has committed manslaughter #BruceJenner,Neutral,Community_Discussion
TXT_00182,I'm selling my 2 Ed Sheeran tickets for Gillette Stadium September 25th both tickets would come to $200 total lmk if you're interested!,Neutral,Community_Discussion
TXT_00183,@user any odds on louis saha to score the winner in the derby on sunday? @user #backtohauntthescum #bagger,Neutral,Feature_Feedback
TXT_00184,"""excited for fri,not so i can get smashed but so i can go to the garden centre,look at the xmas display and have a coffee #wtf #grannyalert""",Positive,Community_Discussion
TXT_00185,@user going by the last 3 games yes.I think son may bring last season Kane back.He under to much pressure .We expect to much of him,Positive,Community_Discussion
TXT_00186,The only Milan player Carlos Bacca among the other 8 serie A players in the list here,Neutral,Community_Discussion
TXT_00187,Gucci plurality spirit fearlessness january unfurl the bifurcated thine signalizing passageway syndication in ...,Neutral,Community_Discussion
TXT_00188,"""George Osborne on British contributions """"we do not have a veto ... and we have to live with the consequences.""""",Neutral,Community_Discussion
TXT_00189,@user Model Search tomorrow between 9am-12.30pm at Westfield Parramatta. Applications available on the day.,Neutral,Technical_Issues
TXT_00190,What's the requirement to work at Dunkin? Complete up to 8th grade? Reasons I hate going there. No people skills.,Negative,Feature_Feedback
TXT_00191,To anyone planning on watching the Teen Choice Awards tonight. Spoiler Alert: The winners are Justin Bieber and Twilight.,Positive,Community_Discussion
TXT_00192,"@user If there's one thing I can guarantee Monday, it's Janet Jackson worship, which I'm always here for.""",Positive,Community_Discussion
TXT_00193,@user no live NBA game tomorrow? only postgames of Knicks/Heat and Clippers/Grizzlies? pls air the game of Knicks against Heat LIVE.,Negative,Community_Discussion
TXT_00194,Why oh why does Toronto's Nuit Blanche have to be the same night as a wedding I have to attend?!? #snbTO,Negative,Feature_Feedback
TXT_00195,Brewers RF Ryan Braun gets a day off Tuesday vs. Cubs #RyanBraun #FantasyBaseball,Neutral,Community_Discussion
TXT_00196,"Congratulations to Jessie, for winning the July/August challenge! A $250.00 gift card to Amazon! Great job Jessie!!!",Positive,Community_Discussion
TXT_00197,@user No one can hold a candle to queen coco. If she\u2019s still doing shows in August for my wedding we HAVE to go!!!,Positive,Community_Discussion
TXT_00198,"""As Bogaerts hits his 5th home run, why the Red Sox still think he'll hit for power:",Neutral,Community_Discussion
TXT_00199,"@user the 1st time. I will NEVER forget tht night. Hope you get to come back, soon. God bless you, Niall. Good night.""",Positive,Community_Discussion
TXT_00200,"""ZE:A\u2019s Dong Jun and B2ST\u2019s Dongwoon have been cast for the role of Frank in musical \""""""""Catch Me If You Can\"""""""" which will be their musical debut.""",Neutral,Community_Discussion
TXT_00201,Can you say Israel's bitch? What a fucking clown Chuck Norris is. Not to mention zerohedge is pushing disinformation,Negative,Community_Discussion
TXT_00202,Make Sure to check out the weekly Friday\u2019s Round - Up of book signings \u002c interviews and reviews over at the Oak...,Neutral,Community_Discussion
TXT_00203,"""I swear to god if this boy is pulling a Frank Ocean, all the boys will be crying. I have such trust issues now.",Negative,Community_Discussion
TXT_00204,Sign of the times? BBC News - Encyclopaedia Britannica ends its famous print edition,Negative,Community_Discussion
TXT_00205,"@user there is no crisis in Turkey, Erdogan managed the politics and take to elections 1st Nov.  Democracy works..",Neutral,Community_Discussion
TXT_00206,"@user c'mon bruh, you watch Chelsea every week you aren't actually gonna tell me that Oscar works harder due to tackles are you?",Negative,Community_Discussion
TXT_00207,NBA Video - The Daily Zap: All the action from Wednesday\u2019s six pack can be found right here in the Daily Zap. #NBA,Neutral,Community_Discussion
TXT_00208,And you say Derrick Rose isn't good because of the ACL but Dwight Howard is the 3rd best player in the league coming off major back surgery?,Negative,Community_Discussion
TXT_00209,"@user zayn left on the 25th, school starts on the 25th, the 25th is just not a good day""",Negative,Community_Discussion
TXT_00210,"""Briana sextape """"End of the day"""" """"Album out on Friday"""" """"Break is soon""""  Us:",Neutral,Community_Discussion
TXT_00211,Can someone bless with Mr wattecamps hw tomorrow,Neutral,Community_Discussion
TXT_00212,now i know why i was overly upset like someone died on the 30th..not just for jessica but also for lee soo man's wife and sunny's aunt :(,Negative,Community_Discussion
TXT_00213,Baron Corbin might actually have the 2nd best job in the world next to Brock Lesnar   Arrive Squash/Get Paid Leave Repeat,Positive,Community_Discussion
TXT_00214,We are 5 minutes in on Sharknado 3 #OhHellNo and already I think this may be the most impactful movie since Schindler's List,Positive,Community_Discussion
TXT_00215,"""Murray now down a set a 2 breaks in the 2nd set: Anderson up 6-4, 5-1 #USOpen2015""",Neutral,Technical_Issues
TXT_00216,Golam Globus-OK-here's the deal: I may not like this movie. Except it has Chuck Norris in it. :-)),Neutral,Community_Discussion
TXT_00217,Tearing up watching Jurassic Park for the 1st time in ages. Remembering the awe of seeing it as a kid. Sorry for all who got stuck w J World,Neutral,Community_Discussion
TXT_00218,WASHINGTON (Reuters) - Republican Governors Chris Christie and John Kasich on Tuesday grabbed the last spots on stage next to front-r...,Neutral,Community_Discussion
TXT_00219,That sucks if you have to take the SATs tomorrow,Negative,Community_Discussion
